id,cue,response,type,state,step,stability,difficulty,due,lastReview,r,source,history
1,"{""content"": ""What is this flag?"", ""path"": ""neuromods/flags/images/sweden.png""}",Sweden,image-text,2,,8.2956,1.0,2026-05-20T12:53:28.479126+00:00,2026-05-13T12:53:28.479126+00:00,1.0,flags.nm,"[{""rating"": 4, ""review_datetime"": ""2026-05-13T12:53:28.479126+00:00"", ""stability"": 0, ""difficulty"": 0, ""elapsed_days"": null, ""scheduled_days"": null}]"
2,"{""content"": ""What is this flag?"", ""path"": ""neuromods/flags/images/united kingdom.png""}",United Kingdom,image-text,2,,8.2956,1.0,2026-05-22T12:53:33.115039+00:00,2026-05-13T12:53:33.115039+00:00,1.0,flags.nm,"[{""rating"": 4, ""review_datetime"": ""2026-05-13T12:53:33.115039+00:00"", ""stability"": 0, ""difficulty"": 0, ""elapsed_days"": null, ""scheduled_days"": null}]"
3,"{""content"": ""What is this flag?"", ""path"": ""neuromods/flags/images/argentina.png""}",Argentina,image-text,2,,8.2956,1.0,2026-05-19T12:53:39.147825+00:00,2026-05-13T12:53:39.147825+00:00,1.0,flags.nm,"[{""rating"": 4, ""review_datetime"": ""2026-05-13T12:53:39.147825+00:00"", ""stability"": 0, ""difficulty"": 0, ""elapsed_days"": null, ""scheduled_days"": null}]"
4,"{""content"": ""What is this flag?"", ""path"": ""neuromods/flags/images/australia.png""}",Australia,image-text,2,,0.17743309201720897,8.39265541785738,2026-05-14T12:57:40.148732+00:00,2026-05-13T12:57:40.148732+00:00,1.0,flags.nm,"[{""rating"": 1, ""review_datetime"": ""2026-05-13T12:53:44.566847+00:00"", ""stability"": 0, ""difficulty"": 0, ""elapsed_days"": null, ""scheduled_days"": null}, {""rating"": 1, ""review_datetime"": ""2026-05-13T12:55:24.283251+00:00"", ""stability"": 0, ""difficulty"": 0, ""elapsed_days"": null, ""scheduled_days"": null}, {""rating"": 4, ""review_datetime"": ""2026-05-13T12:57:40.148732+00:00"", ""stability"": 0, ""difficulty"": 0, ""elapsed_days"": null, ""scheduled_days"": null}]"
5,"{""content"": ""What is this flag?"", ""path"": ""neuromods/flags/images/barbados.png""}",Barbados,image-text,1,0,1.2931,5.112170705601056,2026-05-13T12:59:18.066139+00:00,2026-05-13T12:53:48.066139+00:00,1.0,flags.nm,"[{""rating"": 2, ""review_datetime"": ""2026-05-13T12:53:48.066139+00:00"", ""stability"": 0, ""difficulty"": 0, ""elapsed_days"": null, ""scheduled_days"": null}]"
6,"{""content"": ""What is this flag?"", ""path"": ""neuromods/flags/images/belarus.png""}",Belarus,image-text,1,1,0.24668918777567272,6.402115069296838,2026-05-13T13:05:27.820156+00:00,2026-05-13T12:55:27.820156+00:00,1.0,flags.nm,"[{""rating"": 1, ""review_datetime"": ""2026-05-13T12:53:51.327563+00:00"", ""stability"": 0, ""difficulty"": 0, ""elapsed_days"": null, ""scheduled_days"": null}, {""rating"": 3, ""review_datetime"": ""2026-05-13T12:55:27.820156+00:00"", ""stability"": 0, ""difficulty"": 0, ""elapsed_days"": null, ""scheduled_days"": null}]"
7,"{""content"": ""What is this flag?"", ""path"": ""neuromods/flags/images/belgium.png""}",Belgium,image-text,1,0,0.14339874769184835,7.604209769076838,2026-05-13T13:01:01.524092+00:00,2026-05-13T12:55:31.524092+00:00,1.0,flags.nm,"[{""rating"": 1, ""review_datetime"": ""2026-05-13T12:53:55.346440+00:00"", ""stability"": 0, ""difficulty"": 0, ""elapsed_days"": null, ""scheduled_days"": null}, {""rating"": 2, ""review_datetime"": ""2026-05-13T12:55:31.524092+00:00"", ""stability"": 0, ""difficulty"": 0, ""elapsed_days"": null, ""scheduled_days"": null}]"
8,"{""content"": ""What is this flag?"", ""path"": ""neuromods/flags/images/brazil.png""}",Brazil,image-text,1,1,2.3065,2.118103970459016,2026-05-13T13:04:01.086783+00:00,2026-05-13T12:54:01.086783+00:00,1.0,flags.nm,"[{""rating"": 3, ""review_datetime"": ""2026-05-13T12:54:01.086783+00:00"", ""stability"": 0, ""difficulty"": 0, ""elapsed_days"": null, ""scheduled_days"": null}]"
9,"{""content"": ""What is this flag?"", ""path"": ""neuromods/flags/images/bulgaria.png""}",Bulgaria,image-text,1,1,0.24668918777567272,6.402115069296838,2026-05-13T13:07:47.960757+00:00,2026-05-13T12:57:47.960757+00:00,1.0,flags.nm,"[{""rating"": 1, ""review_datetime"": ""2026-05-13T12:55:52.045367+00:00"", ""stability"": 0, ""difficulty"": 0, ""elapsed_days"": null, ""scheduled_days"": null}, {""rating"": 3, ""review_datetime"": ""2026-05-13T12:57:47.960757+00:00"", ""stability"": 0, ""difficulty"": 0, ""elapsed_days"": null, ""scheduled_days"": null}]"
10,"{""content"": ""What is this flag?"", ""path"": ""neuromods/flags/images/canada.png""}",Canada,image-text,1,0,1.2931,5.112170705601056,2026-05-13T13:01:48.011393+00:00,2026-05-13T12:56:18.011393+00:00,1.0,flags.nm,"[{""rating"": 2, ""review_datetime"": ""2026-05-13T12:56:18.011393+00:00"", ""stability"": 0, ""difficulty"": 0, ""elapsed_days"": null, ""scheduled_days"": null}]"
